method,family,n,p,seed,tol,d,m,cut,approx_ratio,params_opt,rank,refreshes,forward_F,jvp,vjp,wall_s
rsq,er,10,1,1,0.1,38,28,17.074135,0.813054,28,28,3,416,208,390,1.1461
rsq,er,10,1,1,0.01,38,28,17.075837,0.813135,28,28,3,464,232,446,1.2606
rsq_adjoint_free,er,10,1,1,,38,28,16.358472,0.778975,8,8,3,288,144,0,0.3624
full_maqaoa,er,10,1,2,,29,19,12.000226,0.857159,29,,0,100,0,100,0.1942
symmetry,er,10,1,2,,29,19,12.577241,0.898374,25,,0,100,0,100,0.1998
fixed_rank_oracle,er,10,1,2,,29,19,11.324283,0.808877,8,8,0,100,0,100,0.2162
rsq,er,10,1,2,0.1,29,19,12.485425,0.891816,19,19,3,324,162,390,1.0829
rsq,er,10,1,2,0.01,29,19,12.486589,0.891899,19,19,3,332,166,404,1.1184
rsq_adjoint_free,er,10,1,2,,29,19,11.950112,0.853579,8,8,3,288,144,0,0.36
full_maqaoa,er,10,2,0,,58,19,13.032741,0.93091,58,,0,100,0,100,0.3645
symmetry,er,10,2,0,,58,19,13.032741,0.93091,58,,0,100,0,100,0.3621
fixed_rank_oracle,er,10,2,0,,58,19,10.74758,0.767684,8,8,0,100,0,100,0.4035
rsq,er,10,2,0,0.1,58,19,13.428341,0.959167,19,19,3,372,186,474,2.4089
rsq,er,10,2,0,0.01,58,19,13.377848,0.955561,19,19,3,388,194,502,2.541
rsq_adjoint_free,er,10,2,0,,58,19,12.165771,0.868984,8,8,3,288,144,0,0.6923
full_maqaoa,er,10,2,1,,76,28,19.502912,0.92871,76,,0,100,0,100,0.3665
symmetry,er,10,2,1,,76,28,19.502912,0.92871,76,,0,100,0,100,0.3698
fixed_rank_oracle,er,10,2,1,,76,28,15.496302,0.737919,8,8,0,100,0,100,0.4414
rsq,er,10,2,1,0.1,76,28,17.804624,0.847839,28,28,3,520,260,544,2.8234
